2026/05/25 03:44:33 [WS] ob msg: orderbook.50.ETHUSDT len=81
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.TONUSDT len=99
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.SOLUSDT len=111
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.BTCUSDT len=96
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.PYTHUSDT len=80
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.ADAUSDT len=101
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.ETHUSDT len=95
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.BTCUSDT len=80
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.ETHUSDT len=118
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.ETHUSDT len=118
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.AVAXUSDT len=95
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.ETHUSDT len=226
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.ADAUSDT len=101
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.ETHUSDT len=139
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.FLOKIUSDT len=86
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.BTCUSDT len=98
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.LINKUSDT len=111
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.ETHUSDT len=117
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.FLOKIUSDT len=87
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.SUIUSDT len=76
2026/05/25 03:44:33 [WS] ob msg: orderbook.50.BTCUSDT len=82
